Crosswalk_ID,External_System,External_Code,External_Name,Maxx_Level,Maxx_Code,Maxx_Name,Mapping_Confidence,Mapping_Notes,Created_By,Created_Date
XW-001,NIELSEN,HUMAN RESOURCES,Human Resources (Nielsen L2),TOWER,HR,Human Resources,HIGH,Validated in Nielsen HR assessment,ASSESSMENT,2026-02-09
XW-002,NIELSEN,Human Resources,Human Resources (Nielsen L2 mixed case),TOWER,HR,Human Resources,HIGH,Same as XW-001 — case variant,ASSESSMENT,2026-02-09
XW-003,NIELSEN,TECHNOLOGY,Technology (Nielsen L2),TOWER,IT,Information Technology,HIGH,Nielsen Technology maps to Maxx IT tower,ASSESSMENT,2026-02-09
XW-004,NIELSEN,Technology,Technology (Nielsen L2 mixed case),TOWER,IT,Information Technology,HIGH,Same as XW-003 — case variant,ASSESSMENT,2026-02-09
XW-005,NIELSEN,FACILITIES,Facilities (Nielsen L2),TOWER,FM,Facilities Management,HIGH,Direct tower mapping,ASSESSMENT,2026-02-09
XW-006,NIELSEN,Facilities,Facilities (Nielsen L2 mixed case),TOWER,FM,Facilities Management,HIGH,Same as XW-005 — case variant,ASSESSMENT,2026-02-09
XW-007,NIELSEN,PROFESSIONAL SERVICES,Professional Services (Nielsen L2),TOWER,PS,Professional Services,HIGH,Direct tower mapping,ASSESSMENT,2026-02-09
XW-008,NIELSEN,Professional Services,Professional Services (Nielsen L2 mixed case),TOWER,PS,Professional Services,HIGH,Same as XW-007 — case variant,ASSESSMENT,2026-02-09
XW-009,NIELSEN,MARKETING,Marketing (Nielsen L2),TOWER,MK,Marketing,MEDIUM,Nielsen Marketing → Maxx Marketing tower,ASSESSMENT,2026-02-09
XW-010,NIELSEN,TRANSPORTATION & LOGISTICS,Transportation & Logistics (Nielsen L2),TOWER,SC,Supply Chain & Logistics,MEDIUM,Nielsen T&L → Maxx Supply Chain tower,ASSESSMENT,2026-02-09
XW-011,NIELSEN,Transportation & Logistics,Transportation & Logistics (Nielsen L2 mixed case),TOWER,SC,Supply Chain & Logistics,MEDIUM,Same as XW-010 — case variant,ASSESSMENT,2026-02-09
XW-012,NIELSEN,TRAVEL & ENTERTAINMENT,Travel & Entertainment (Nielsen L2),TOWER,CO,Corporate Operations,LOW,T&E is typically indirect — maps to corporate ops,ASSESSMENT,2026-02-09
XW-013,NIELSEN,PRINTING,Printing (Nielsen L2),TOWER,CO,Corporate Operations,LOW,Printing services → corporate operations,ASSESSMENT,2026-02-09
XW-014,NIELSEN,Printing,Printing (Nielsen L2 mixed case),TOWER,CO,Corporate Operations,LOW,Same as XW-013 — case variant,ASSESSMENT,2026-02-09
XW-015,NIELSEN,MANUFACTURING,Manufacturing (Nielsen L2),TOWER,MO,Manufacturing & Operations,HIGH,Direct tower mapping,ASSESSMENT,2026-02-09
XW-016,NIELSEN,BUSINESS INFORMATION,Business Information (Nielsen L2),TOWER,CO,Corporate Operations,LOW,Subscriptions and data → corporate ops,ASSESSMENT,2026-02-09
XW-017,NIELSEN,Business Information,Business Information (Nielsen L2 mixed case),TOWER,CO,Corporate Operations,LOW,Same as XW-016 — case variant,ASSESSMENT,2026-02-09
XW-018,NIELSEN,DATA ACQUISITION,Data Acquisition (Nielsen L2),TOWER,CO,Corporate Operations,LOW,Nielsen-specific — data panel operations,ASSESSMENT,2026-02-09
XW-019,NIELSEN,Data Acquisition,Data Acquisition (Nielsen L2 mixed case),TOWER,CO,Corporate Operations,LOW,Same as XW-018 — case variant,ASSESSMENT,2026-02-09
XW-020,NIELSEN,EMPLOYEES,Employees (Nielsen L2 — non-sourceable),TOWER,NS,Not Sourceable,HIGH,Payroll and internal headcount — not outsourced,ASSESSMENT,2026-02-09
XW-021,NIELSEN,GOVERNMENT PAYMENTS,Government Taxes & Fees (Nielsen L2),TOWER,NS,Not Sourceable,HIGH,Tax and government payments — not sourceable,ASSESSMENT,2026-02-09
XW-022,NIELSEN,INTERCOMPANY,Intercompany (Nielsen L2),TOWER,NS,Not Sourceable,HIGH,Intercompany transfers — not sourceable,ASSESSMENT,2026-02-09
XW-023,NIELSEN,NON SOURCEABLE,Non Sourceable (Nielsen L2),TOWER,NS,Not Sourceable,HIGH,Explicitly non-sourceable,ASSESSMENT,2026-02-09
XW-024,NIELSEN,NON SOURCEABLE FACILITIES,Non Sourceable Facilities (Nielsen L2),TOWER,NS,Not Sourceable,MEDIUM,Real estate/lease — typically not in scope,ASSESSMENT,2026-02-09
XW-025,NIELSEN,PROFESSIONAL SERVICES NON SOURCEABLE,Prof Services Non Sourceable (Nielsen L2),TOWER,NS,Not Sourceable,MEDIUM,Investment services — typically not in scope,ASSESSMENT,2026-02-09
XW-026,NIELSEN,DATA ACQUISITION NON SOURCEABLE,Data Acq Non Sourceable (Nielsen L2),TOWER,NS,Not Sourceable,HIGH,Royalties and coop — not sourceable,ASSESSMENT,2026-02-09
XW-027,NIELSEN,TRADE ASSOCIATIONS,Trade Associations (Nielsen L2),TOWER,NS,Not Sourceable,HIGH,Association memberships — not sourceable,ASSESSMENT,2026-02-09
